Randomized	B:C0206035
Bias	I:C0841584
Modification	I:C0841584
paradigm	O
.	O

Despite	O
these	O
findings	O
,	O
no	O
research	O
to	O
date	O
has	O
examined	O
the	O
efficacy	O
of	O
an	O
IU	O
-	O
focused	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
paradigm	O
.	O

The	O
current	O
study	O
investigated	O
the	O
impact	O
of	O
a	O
brief	O
IU	O
-	O
focused	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
on	O
reductions	O
in	O
IU	O
.	O

Participants	B:C0679646
selected	O
for	O
a	O
high	O
IU	O
interpretation	O
bias	I:C0420833
(	O
IU	O
-	O
IB	O
)	O
were	O
randomly	O
assigned	O
to	O
an	O
active	O
(	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
or	O
control	O
CBM	I:C0841584
-	I:C0841584
I	I:C0841584
condition	O
.	O

Participants	O
selected	O
for	O
a	O
high	O
IU	O
interpretation	B:C0420833
bias	I:C0420833
(	O
IU	O
-	O
IB	O
)	O
were	O
randomly	O
assigned	O
to	O
an	O
active	O
(	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
or	O
control	O
CBM	I:C0841584
-	I:C0841584
I	I:C0841584
condition	O
.	O

Participants	O
selected	O
for	O
a	O
high	O
IU	O
interpretation	O
bias	I:C0420833
(	O
IU	O
-	O
IB	B:C0420833
)	O
were	O
randomly	O
assigned	O
to	O
an	O
active	O
(	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
or	O
control	O
CBM	I:C0841584
-	I:C0841584
I	I:C0841584
condition	O
.	O

Participants	O
selected	O
for	O
a	O
high	O
IU	O
interpretation	O
bias	I:C0420833
(	O
IU	O
-	O
IB	O
)	O
were	O
randomly	O
assigned	O
to	O
an	O
active	O
(	O
IU	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
)	O
or	O
control	O
CBM	I:C0841584
-	I:C0841584
I	I:C0841584
condition	O
.	O

Participants	O
selected	O
for	O
a	O
high	O
IU	O
interpretation	O
bias	I:C0420833
(	O
IU	O
-	O
IB	O
)	O
were	O
randomly	O
assigned	O
to	O
an	O
active	O
(	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
or	O
control	B:C0841584
CBM	I:C0841584
-	I:C0841584
I	I:C0841584
condition	O
.	O

Results	O
indicated	O
that	O
our	O
active	O
IU	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
was	O
associated	O
with	O
significant	O
changes	O
in	O
IU	O
-	O
IB	O
from	O
pre-to	O
-	O
post	O
intervention	O
as	O
well	O
as	O
with	O
significant	O
reductions	O
in	O
IU	O
at	O
post	O
-	I:C2347647
intervention	I:C2347647
and	O
month	O
-	I:C0420334
one	I:C0420334
follow	I:C0420334
-	I:C0420334
up	I:C0420334
.	O

Results	O
indicated	O
that	O
our	O
active	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
was	O
associated	O
with	O
significant	O
changes	O
in	O
IU	O
-	O
IB	B:C0420833
from	O
pre-to	O
-	O
post	O
intervention	O
as	O
well	O
as	O
with	O
significant	O
reductions	O
in	O
IU	O
at	O
post	O
-	I:C2347647
intervention	I:C2347647
and	O
month	O
-	I:C0420334
one	I:C0420334
follow	I:C0420334
-	I:C0420334
up	I:C0420334
.	O

Results	O
indicated	O
that	O
our	O
active	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
was	O
associated	O
with	O
significant	O
changes	O
in	O
IU	O
-	O
IB	O
from	O
pre-to	O
-	O
post	O
intervention	O
as	O
well	O
as	O
with	O
significant	O
reductions	O
in	O
IU	O
at	O
post	B:C2347647
-	I:C2347647
intervention	I:C2347647
and	O
month	O
-	I:C0420334
one	I:C0420334
follow	I:C0420334
-	I:C0420334
up	I:C0420334
.	O

Results	O
indicated	O
that	O
our	O
active	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
was	O
associated	O
with	O
significant	O
changes	O
in	O
IU	O
-	O
IB	O
from	O
pre-to	O
-	O
post	O
intervention	O
as	O
well	O
as	O
with	O
significant	O
reductions	O
in	O
IU	O
at	O
post	O
-	I:C2347647
intervention	I:C2347647
and	O
month	B:C0420334
-	I:C0420334
one	I:C0420334
follow	I:C0420334
-	I:C0420334
up	I:C0420334
.	O

Findings	B:C0243095
also	O
found	O
that	O
the	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
led	O
to	O
reductions	O
in	O
IU	O
self	O
-	I:C2700446
report	I:C2700446
via	O
the	O
hypothesized	O
mechanism	O
.	O

Findings	O
also	O
found	O
that	O
the	O
IU	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
led	O
to	O
reductions	O
in	O
IU	O
self	O
-	I:C2700446
report	I:C2700446
via	O
the	O
hypothesized	O
mechanism	O
.	O

Findings	O
also	O
found	O
that	O
the	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
led	O
to	O
reductions	O
in	O
IU	O
self	B:C2700446
-	I:C2700446
report	I:C2700446
via	O
the	O
hypothesized	O
mechanism	O
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	O
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	O
/	O
intervention	O
treatment	O
for	I:C0741150
anxiety	I:C0741150
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	B:C0420833
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	O
/	O
intervention	O
treatment	O
for	I:C0741150
anxiety	I:C0741150
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	O
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	O
/	O
intervention	O
treatment	O
for	I:C0741150
anxiety	I:C0741150
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	O
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	B:C0199176
/	O
intervention	O
treatment	O
for	I:C0741150
anxiety	I:C0741150
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	O
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	O
/	O
intervention	B:C0184661
treatment	O
for	I:C0741150
anxiety	I:C0741150
.	O

This	O
study	O
is	O
the	O
first	O
to	O
provide	O
evidence	O
that	O
a	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
focused	O
on	O
IU	O
is	O
effective	O
in	O
reducing	O
IU	O
-	O
IB	O
and	O
IU	O
across	O
time	O
and	O
suggest	O
that	O
IU	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigms	O
may	O
be	O
a	O
novel	O
prevention	O
/	O
intervention	O
treatment	B:C0741150
for	I:C0741150
anxiety	I:C0741150
.	O

